Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Jefferson Park,47.568067,-122.31144099999999,Franz Bakery Outlet,47.57631717070099,-122.3262117390172,Bakery
Jefferson Park,47.568067,-122.31144099999999,Taco Bell/KFC,47.58381956962071,-122.32952609321319,Fried Chicken Joint
Jefferson Park,47.568067,-122.31144099999999,Dahlak Eritrean Cuisine,47.58764680303501,-122.30591718436443,Ethiopian Restaurant
Jefferson Park,47.568067,-122.31144099999999,Subway,47.578943256087584,-122.32953908817785,Sandwich Place
Jefferson Park,47.568067,-122.31144099999999,Oberto Factory Store,47.58803625611128,-122.30555563615239,Snack Place
Jefferson Park,47.568067,-122.31144099999999,Taco Bell,47.569198712126905,-122.289818921262,Fast Food Restaurant
Jefferson Park,47.568067,-122.31144099999999,Denny's,47.57798409505369,-122.32870817184448,Breakfast Spot
Jefferson Park,47.568067,-122.31144099999999,Subway,47.55870935931556,-122.28549060817737,Sandwich Place
Jefferson Park,47.568067,-122.31144099999999,beacon grill,47.567177,-122.307199,Fast Food Restaurant
Jefferson Park,47.568067,-122.31144099999999,Burger King,47.58470641815859,-122.30365097522736,Fast Food Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Ristorante Picolinos,47.67546742617405,-122.39849230731859,Italian Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Un Bien,47.674786224826086,-122.40634572119197,Caribbean Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Cafe Munir,47.68690805359445,-122.38799637355696,Middle Eastern Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Ray's Boathouse,47.67339213054635,-122.4076889481522,Seafood Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Larsen's Bakery,47.68680429086032,-122.38752398755355,Bakery
Golden Gardens Park,47.686852,-122.40345400000001,Copine,47.67574136749478,-122.38740432867978,French Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Ray's Cafe,47.67335404507489,-122.40769286642285,Seafood Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Cafe Besalu,47.67197127046342,-122.38775528572725,Bakery
Golden Gardens Park,47.686852,-122.40345400000001,Un Bien,47.68163662900125,-122.37663719087422,Caribbean Restaurant
